,name,intercept,slope,r2_score
0,gram,2139.236042762941,180.44794047190555,0.8724798822513601
1,wheat(husked),1527.9088518027336,11.887658207542955,0.9178200056727586
2,soybean,3292.906762673995,2.3065820180580445,0.004477428058104027
3,sorgum(jawar),1561.0437149094532,5.0522432114729465,0.2889197377053905
4,pigeon pea (tur),5211.182352228767,103.48612166141734,0.2942633672824061
5,maize,1166.1960184960612,13.4659432321013,0.5214273655012933
6,green gram,7242.065261633919,-69.14127040276992,0.37997594846241267
7,bajri,1337.4945983825828,11.798530105307986,0.465434967715187
8,onion,1657.3279149889067,-33.978628605862404,0.2336985358917042
9,black gram,5242.6429497263,138.97456233527788,0.39166768495978044
10,ground nut pods (dry),3711.601178624798,41.08733647133431,0.44637139910782264
11,cotton,3855.0919692827406,33.972233153754324,0.6578898530037384
12,tomato,1253.6470389468698,-0.19254201819222772,8.829987319436405e-06
13,brinjal,1474.564668182943,7.566351667743777,0.01916522853296443
14,ladies finger,2401.030543005481,-12.054544191839506,0.02640555486016638
15,paddy-unhusked,1631.1295248354963,5.91271767926254,0.2234138658834932
16,cabbage,680.4153205741593,7.574442047417878,0.061846370962441166
17,green chilli,2567.73220904812,24.948833495696533,0.028391866112878583
18,cucumber,1373.1593872462847,-3.2182305589419986,0.005825223602735408
19,flower,1173.6225438881286,5.2231838015343035,0.018979248597665754
20,bitter gourd,2638.9955772443727,1.6638771086013335,0.0002823586100932918
21,potato,1368.8312887449094,-8.652740014679065,0.03445139976091349
22,cluster bean,2912.590481198419,12.190867480907578,0.022477891562650343
23,rice(paddy-hus),2950.562015486894,-1.7311991696451368,0.007366614209119771
24,capsicum,2268.0165693884155,-1.950701573143803,0.0004929480916546769
25,bottle gourd,1012.1814771996438,3.0396593810749235,0.015006411695521082
26,garlic,3161.1406771229917,215.62271252415496,0.6811952893299342
27,pomegranate,4009.635452683535,12.496762517179253,0.038093809714602966
28,sesamum,9133.016045203993,-164.27947423394346,0.8228259933274531
29,ginger (fresh),3840.6946396030257,-53.73804281357257,0.6343308767914825
30,sunflower,3021.607789314418,10.466893603855963,0.16888327942971249
31,chillies(red),6911.307369273558,125.67451195855504,0.4262590967203609
32,carrot,1702.8307390842872,-2.2102095200536374,0.0013696796755212626
33,coriander  ,1348.4321040503,26.847437647120568,0.08128964998176758
34,lemon,1505.1993059393362,47.95179862285187,0.2855720152885287
35,jaggery,2377.6604874261584,41.09862302999215,0.44957475545691783
36,shevga,3904.990289060928,-45.31488870479361,0.11824523611667315
37,safflower,2393.3164175055263,6.893213366245978,0.27896689409802866
38,mosambi,1869.3024815432555,49.261265406568754,0.5096633748085131
39,spinach,745.8808297676334,13.331705775212225,0.09958856973903496
40,ghevda,2576.103911894679,33.22656071329914,0.10090695167642227
41,chikoo,1349.206177843584,34.434073563552886,0.4916940511490414
42,turmeric,7440.625712366781,46.414329344147504,0.13692837425071558
43,coriander (dry),10639.847903307602,-102.89144502751897,0.3838812480264786
44,banana,713.9403264983246,2.9705980126676965,0.016832808976048774
45,matki,6764.364195135424,-12.857143446185532,0.021595166900676532
46,green-peas,3706.1109742195767,89.7887752467809,0.18401329790264453
47,papai,914.7814431326425,14.111622321541047,0.16755967103926073
48,chavli (shenga ),1913.523539610649,10.355975311211804,0.031711121468968484
49,ridge gourd,2535.110857860759,22.98751265307385,0.05003222691255249
50,orange,1689.3550052263133,35.35113022279654,0.12018984139704725
51,cowpea,4063.70035395346,33.35097735663375,0.20006833938390434
52,squash gourd,584.3379792571209,95.07503112217123,0.40047848615595183
53,apple,6346.847436007656,61.11884313627313,0.08500401222845055
54,tamarind,3435.2768018533843,135.12311403977122,0.2618340491737168
55,green peas (dry),3513.0417790994666,-7.042126018401525,0.009890814208826315
56,mustard,3208.4412826098724,20.32783792826008,0.481620401592715
57,small gourd,1598.689313485119,20.91751400962296,0.24482816527247941
58,beet root,1484.8214298373643,-4.2818164843005055,0.02106313765502943
59,pavtta,2778.6390520949362,37.01843022748032,0.09221101920041819
60,methi (bhaji),1553.766346749294,14.36700558778734,0.02962400916924557
61,castor seed,3276.9837673401776,-16.31634691307825,0.2719787090004364
62,ghosali(bhaji),1888.9897093353848,28.20299736571682,0.17304536944773452
63,horse gram,2667.329767198272,26.55197055276186,0.2920390989371977
64,raddish,995.904562667294,7.422202684267761,0.0219438465098607
65,guava,1721.7942701989775,14.372246389721374,0.09130354695399545
66,wheat(unhusked),2902.317043570707,15.61983267993714,0.16867243791151987
67,bor,1157.0371075731907,13.989845884743275,0.04096632428244795
68,sweet potato,1341.8749764499917,11.752455275539592,0.06467060280643233
69,math (bhaji),1102.080423282825,38.40897435905596,0.1879551208075435
70,grapes,2905.6309258738875,52.445261509333996,0.33603451946862495
71,custard apple,2885.131919044511,2.2442250511741264,0.0003197618112723566
72,water melon,743.4390656690389,-3.0642897804984743,0.02618726021372797
73,shepu,818.6432625818835,18.06386172071287,0.09064678734177312
74,kanda pat,1547.7039871537897,-9.258731612325423,0.02186877334533832
75,walvad,2504.4731450647673,4.541894852341643,0.00420287267504138
76,pumpkin,1088.042945328649,-2.049654049660693,0.008246564143660873
77,snake gourd,1486.2326971561754,0.5054145589848587,9.478507118154678e-05
78,mango,5366.940137964207,-148.14341453228135,0.18342786929327504
79,wal papdi,2109.361399103951,28.36488295826273,0.09789854603700987
80,wal bhaji,2291.4532692060875,9.281548969562017,0.009139498171015559
81,linseed,3883.324385414927,66.5093594574025,0.4864616832766445
82,chavli (pala),1085.6610072846097,5.906343954741756,0.02932525252641749
83,maize(corn.),1049.4145372120329,0.5030333760641909,0.0003697661941571839
84,dhemse,2195.1763217432435,9.640044265522512,0.0132603622156795
85,pineapple,1481.7752960475727,10.612509448244728,0.07669571925500962
86,lentil,5105.415734528164,82.96473076474183,0.38719155625740365
87,mango(raw),1640.0653110062349,120.62552050815586,0.28596683845747095
88,melon,1151.3869572545457,10.709198693743671,0.061795789201898876
